lastPrice,stockCode,stockName
5.87,002839,张家港行
2.9,600358,*ST联合
5.79,002004,华邦健康
2.89,600190,锦州港
2.88,600256,广汇能源
4.01,300164,通源石油
3.9,601339,百隆东方
11.49,600475,华光环能
19.0,603585,苏利股份
3.72,600281,太化股份
3.58,601600,中国铝业
7.16,600152,维科技术
21.47,001914,招商积余
24.95,688093,世华科技
148.94,300776,帝尔激光
38.97,002230,科大讯飞
24.17,300151,昌红科技
30.67,002803,吉宏股份
64.31,300526,中潜股份
6.75,000993,闽东电力
16.8,603268,松发股份
23.31,600547,山东黄金
32.84,688022,瀚川智能
13.04,600647,同达创业
12.85,002883,中设股份
19.93,300719,安达维尔
29.05,605003,众望布艺
23.95,000915,山大华特
4.75,601169,北京银行
18.75,603060,国检集团
4.58,600011,华能国际
18.32,300348,长亮科技
4.44,601328,交通银行
8.86,600768,宁波富邦
8.82,603682,锦和商业
13.23,000831,五矿稀土
26.39,002595,豪迈科技
8.6,600886,国投电力
17.16,600176,中国巨石
12.53,002182,云海金属
8.24,603289,泰瑞机器
172.49,688050,爱博医疗
41.04,603712,七一二
16.16,603968,醋化股份
20.2,002930,宏川智慧
25.86,600406,国电南瑞
6.44,002340,格林美
6.17,600015,华夏银行
24.05,300456,赛微电子
5.98,002580,圣阳股份
11.81,002898,赛隆药业
